restaurant_id,name,destination,cuisine,rating,review_count,price_level,latitude,longitude
R-JAI-01,Spice Court,Jaipur,indian,4.5,1200,2,26.9124,75.7873
R-JAI-02,Laxmi Mishthan Bhandar,Jaipur,"indian, street food",4.6,3400,1,26.9124,75.7873
R-JAI-03,1135 AD,Jaipur,rajasthani,4.4,900,3,26.9855,75.8513
R-PAR-01,Le Comptoir,Paris,french,4.5,1500,2,48.8566,2.3522
R-PAR-02,Breizh Cafe,Paris,"french, crepes",4.6,2200,2,48.8566,2.3558
R-PAR-03,L'As du Fallafel,Paris,"middle eastern",4.5,5100,1,48.8566,2.3558
R-TYO-01,Sushi Zen,Tokyo,japanese,4.7,800,3,35.6762,139.6503
R-TYO-02,Ichiran Ramen,Tokyo,"japanese, ramen",4.5,6300,2,35.6812,139.7671
R-TYO-03,Gonpachi,Tokyo,japanese,4.3,2100,2,35.6595,139.7005
R-NYC-01,Katz's Delicatessen,New York,american,4.5,9800,2,40.7223,-73.9878
R-NYC-02,Joe's Pizza,New York,italian,4.6,7400,1,40.7306,-73.9972
R-NYC-03,Le Bernardin,New York,"french, seafood",4.8,3200,3,40.7614,-73.9816
R-ROM-01,Roscioli,Rome,italian,4.7,4500,2,41.9028,12.4964
R-ROM-02,Pizzeria Ai Marmi,Rome,italian,4.5,3800,1,41.9028,12.4964
R-ROM-03,Il Pagliaccio,Rome,italian,4.8,1100,3,41.9028,12.4964
R-BAL-01,Locavore,Bali,"indonesian, fusion",4.8,1900,3,-8.3405,115.0920
R-BAL-02,Warung Babi Guling,Bali,indonesian,4.4,2600,1,-8.3405,115.0920
R-BAL-03,Sisterfields,Bali,cafe,4.5,3100,2,-8.3405,115.0920
R-DXB-01,Al Fanar,Dubai,emirati,4.5,1700,2,25.2048,55.2708
R-DXB-02,Ravi's,Dubai,pakistani,4.6,5200,1,25.2048,55.2708
R-DXB-03,Pierchic,Dubai,seafood,4.6,1400,3,25.2048,55.2708
R-LON-01,Dishoom,London,indian,4.6,8900,2,51.5074,-0.1278
R-LON-02,Borough Market Stalls,London,british,4.5,6700,1,51.5074,-0.1278
R-LON-03,Core,London,british,4.8,900,3,51.5074,-0.1278
R-SIN-01,Hawker Chan,Singapore,chinese,4.5,5800,1,1.3521,103.8198
R-SIN-02,Burnt Ends,Singapore,barbecue,4.8,1200,3,1.3521,103.8198
R-SIN-03,328 Katong Laksa,Singapore,malaysian,4.5,2900,1,1.3521,103.8198
